landschl;regbezschl;kreisschl;gmdschl;gmd;count
5;1;11;0;Düsseldorf;83286
5;1;12;0;Duisburg;90830
5;1;13;0;Essen;99055
5;1;14;0;Krefeld;51686
5;1;16;0;Mönchengladbach;64534
5;1;17;0;Mülheim an der Ruhr;34874
5;1;19;0;Oberhausen;40791
5;1;20;0;Remscheid;23941
5;1;22;0;Solingen;37098
5;1;24;0;Wuppertal;61130
5;1;54;4;Bedburg-Hau;4957
5;1;54;8;Emmerich am Rhein;10469
5;1;54;12;Geldern;11952
5;1;54;16;Goch;12730
5;1;54;20;Issum;4467
5;1;54;24;Kalkar;5388
5;1;54;28;Kerken;4678
5;1;54;32;Kevelaer;10157
5;1;54;36;Kleve;15928
5;1;54;40;Kranenburg;4155
5;1;54;44;Rees;7334
5;1;54;48;Rheurdt;2410
5;1;54;52;Straelen;5675
5;1;54;56;Uedem;2870
5;1;54;60;Wachtendonk;2889
5;1;54;64;Weeze;4354
5;1;58;4;Erkrath;8709
5;1;58;8;Haan;7914
5;1;58;12;Heiligenhaus;6048
5;1;58;16;Hilden;11157
5;1;58;20;Langenfeld (Rhld.);15637
5;1;58;24;Mettmann;9383
5;1;58;26;Monheim am Rhein;8672
5;1;58;28;Ratingen;20425
5;1;58;32;Velbert;17964
5;1;58;36;Wülfrath;5270
5;1;62;4;Dormagen;15954
5;1;62;8;Grevenbroich;18265
5;1;62;12;Jüchen;7878
5;1;62;16;Kaarst;11535
5;1;62;20;Korschenbroich;10836
5;1;62;22;Meerbusch;15134
5;1;62;24;Neuss;33564
5;1;62;28;Rommerskirchen;4648
5;1;66;4;Brüggen;5943
5;1;66;8;Grefrath;5351
5;1;66;12;Kempen;10774
5;1;66;16;Nettetal;14027
5;1;66;20;Niederkrüchten;6217
5;1;66;24;Schwalmtal;6657
5;1;66;28;Tönisvorst;8894
5;1;66;32;Viersen;23259
5;1;66;36;Willich;16123
5;1;70;4;Alpen;4383
5;1;70;8;Dinslaken;16302
5;1;70;12;Hamminkeln;9053
5;1;70;16;Hünxe;4451
5;1;70;20;Kamp-Lintfort;10296
5;1;70;24;Moers;26838
5;1;70;28;Neukirchen-Vluyn;8078
5;1;70;32;Rheinberg;9406
5;1;70;36;Schermbeck;4184
5;1;70;40;Sonsbeck;2844
5;1;70;44;Voerde (Niederrhein);9595
5;1;70;48;Wesel;16971
5;1;70;52;Xanten;7821
5;3;14;0;Bonn;63566
5;3;15;0;Köln;163960
5;3;16;0;Leverkusen;34250
5;3;34;2;Aachen;45063
5;3;34;4;Alsdorf;13162
5;3;34;8;Baesweiler;7868
5;3;34;12;Eschweiler;15379
5;3;34;16;Herzogenrath;13369
5;3;34;20;Monschau;5079
5;3;34;24;Roetgen;3169
5;3;34;28;Simmerath;5982
5;3;34;32;Stolberg (Rhld.);15913
5;3;34;36;Würselen;9915
5;3;58;4;Aldenhoven;4241
5;3;58;8;Düren;23365
5;3;58;12;Heimbach;1931
5;3;58;16;Hürtgenwald;3397
5;3;58;20;Inden;2503
5;3;58;24;Jülich;9884
5;3;58;28;Kreuzau;6362
5;3;58;32;Langerwehe;5138
5;3;58;36;Linnich;4716
5;3;58;40;Merzenich;3377
5;3;58;44;Nideggen;4125
5;3;58;48;Niederzier;4813
5;3;58;52;Nörvenich;3699
5;3;58;56;Titz;3318
5;3;58;60;Vettweiß;3576
5;3;62;4;Bedburg;8166
5;3;62;8;Bergheim;16991
5;3;62;12;Brühl;11495
5;3;62;16;Elsdorf;6994
5;3;62;20;Erftstadt;16863
5;3;62;24;Frechen;13065
5;3;62;28;Hürth;14865
5;3;62;32;Kerpen;18449
5;3;62;36;Pulheim;17454
5;3;62;40;Wesseling;9496
5;3;66;4;Bad Münstereifel;7216
5;3;66;8;Blankenheim;3810
5;3;66;12;Dahlem;2175
5;3;66;16;Euskirchen;17163
5;3;66;20;Hellenthal;3699
5;3;66;24;Kall;4321
5;3;66;28;Mechernich;9946
5;3;66;32;Nettersheim;3219
